# FEATURE MATRIX — the agreed scope, and the final checklist. Same file, both ends.
# verdict: match = build it · beat = build it better than they do · skip = deliberately not
# EVERY match/beat row must end up with a feat_id, or the build goes red.
# EVERY skip row must have a why. 'We didn't get to it' is not a why.
# Sources: research = [C] Deep Research OGGI Free CRM (Aug 3 2026) + docs/RESEARCH-2026-08-11.md
#          complaint = ranked complaint table in the same research
#          verified 11 Aug 2026 — six competitor claims were corrected, see docs/RESEARCH-2026-08-11.md Part 1
id,feature,area,rivals_have,verdict,why,source,feat_id
FM-001,Add a contact,contacts,All 14,match,,research,FEAT-0001
FM-002,Find any contact in one list,contacts,All 14,match,,research,FEAT-0002
FM-003,"Export everything to CSV, always free",data,"Zoho and HubSpot free tiers also export — this is table stakes, not a moat",match,,complaint,FEAT-0003
FM-004,Import contacts from a CSV,data,All 14,match,,research,FEAT-0004
FM-005,Move a deal along a pipeline,pipeline,All 14,match,,research,FEAT-0005
FM-006,Activity timeline on a contact,contacts,All 14,match,,research,FEAT-0006
FM-007,Message a contact on WhatsApp and log it,messaging,"Pipedrive;HubSpot;Zoho;Freshsales — all paywalled",beat,,research,FEAT-0007
FM-008,Know what is due today,tasks,All 14,match,,research,FEAT-0008
FM-009,Teammate logins with role-scoped access,team,All 14 — most binary or paid,beat,,complaint,FEAT-0009
FM-010,Useful within one minute of signup,onboarding,"Bonsai <1hr is the published best",beat,,complaint,FEAT-0010
FM-011,Duplicate warning when adding a contact,contacts,"Zoho;HubSpot;Salesforce;LACRM — Dubsado and Attio do NOT",match,,research,FEAT-0011
FM-012,Undo a bulk delete or an entire import,data,"Salesforce;Zoho;Pipedrive;HubSpot all ship import rollback",match,,research,FEAT-0012
FM-013,Gone quiet — contacts with no recent activity,contacts,"Pipedrive Rotting;Capsule;LACRM",match,,research,FEAT-0013
FM-014,Two-way WhatsApp inside the contact record,messaging,"Pipedrive (May 2026);HubSpot Pro;Freshsales Pro;Zoho paid",beat,,research,FEAT-0014
FM-015,Installable phone app (PWA),mobile,"17hats glitchy;Freshsales slow — weakest area in the set",beat,,complaint,FEAT-0010
FM-016,Every visible text editable without a developer,content,Nobody in the set,beat,,complaint,FEAT-0009
FM-017,Bulk merge of duplicate contacts,contacts,"Zoho;Pipedrive — Attio and Dubsado do NOT",skip,"v2. Merge is irreversible in every product that ships it (HubSpot unenrols workflows and resets timestamps; Bigin Attio and OnePageCRM all warn it cannot be undone). The reversible 'Mark as duplicate of' flag in FEAT-0011 covers the need without destroying data, and dedupe-at-import in FEAT-0004 prevents most of it. Revisit when a real user asks.",research,
FM-018,Recurring tasks,tasks,17hats;Zoho;HubSpot,skip,"Deliberately replaced by FEAT-0013. A recurring task fires whether or not anything happened — if the stockist reordered yesterday the task still fires, and four dismissals later the user stops trusting the task list. An inactivity signal fires only when the relationship actually went cold and self-clears. LACRM and OnePageCRM — the two closest comparables — ship no recurrence at all. No evidence found of anyone abandoning a CRM over this. For genuine admin recurrence the answer is the phone's reminders app.",research,
FM-019,Proposals and invoicing,billing,Dubsado;HoneyBook;Bonsai;17hats,skip,"v2 — hold until the Lead Pool schema is stable. Building it now means either duplicating Lead Pool or inheriting OGGI-specific fields onto a walk-in client record.",research,
FM-020,Fuzzy name matching on duplicates,contacts,HubSpot (Professional and above),skip,"Never. It is the false-positive generator — HubSpot needed ML for it and still caps the tool at 2000-10000 pairs. Name collisions are common in a market with a small set of very frequent surnames, and a false positive that blocks a legitimate entry teaches users to strip identifiers to escape the gate (documented in Zoho's own community).",research,
FM-021,Custom object builder,platform,Salesforce;Zoho,skip,"Never in this product. Custom fields yes. Inventory-object customisation belongs in Wholesale Apps. This is the Salesforce trap the research names explicitly.",research,
FM-022,Two-way sync with Lead Pool,integration,N/A — OGGI-only,skip,"One direction only: a Lead Pool deal marked Won creates or updates a contact here. Two-way sync means conflict resolution, and conflict resolution means silent data loss.",research,
FM-023,Basic reporting dashboard,reporting,"Freshsales;Pipedrive gate it behind higher tiers",skip,"v2. Answers complaint #10 (locked reporting) but nothing in the 90-day success measure depends on it, and it competes for the same sessions as WhatsApp — which is the differentiator.",research,
FM-024,SMS fallback for notifications,messaging,Most of the set,skip,"Never in Lebanon. A2P SMS has been broken on both carriers since at least Feb 2025 (SMEX, Feb 2025) — Alfa a full year without paying its A2P contractor, touch stalled after six cancelled bids. Building on it would produce silent delivery failure, which is the estate's most expensive defect class.",research,
